zakončení adverbia	zakončení základového slova	derivační typ		slova se změnou v kořeni	výjimky	derivační typ výjimky	
bě	bý	_^(*1ý)	A2D				
ce	ký	_^(*2ký)	A2D		přece, sice, ponejvíce, obrace, povýtce, převellice, sebevíce, dokonce, povíce, nanejvíce		
dě	dý	_^(*1ý)	A2D				
cky	cký	_^(*1ý)	A2D				
sky	ský	_^(*1ý)	A2D				
zky (jen: hezky)	zký	_^(*1ý)	A2D				
ky: pěšky, bosky, nevědomky	ADJEKTIVUM		A2D				
ky: plačky, mlčky, volky, nevolky, cupky, dupky	SLOVESO		V2D				
le	lý	_^(*1ý)	A2D		VIZ DOLE		
mě	mý	_^(*1ý)	A2D		potmě, najmě		
aně	aný	_^(*1ý)	A2D				
bně	bný	_^(*1ý)	A2D		osobně, hudebně, neosobně, hydrofobně, výrobně, zásnubně, těžebně, plavebně, posvatebně, klaustrofobně, spotřebně, aerobně, platebně, učebně, kloubně, anaerobně, volebně, předvolebně, pohřebně, výrobně, zkušebně, služebně, stavebně	_^(*1í)	A2D
acně	acný	_^(*1ý)	A2D				
ácně	ácný	_^(*1ý)	A2D				
ecně	ecný	_^(*1ý)	A2D				
ěcně	ěcný	_^(*1ý)	A2D				
ícně	ícný	_^(*1ý)	A2D		lícně	_^(*1í)	A2D
ocně	ocný	_^(*1ý)	A2D				
oucně	oucí	_^(*2í)	A2D				
ačně	ační	_^(*1í)	A2D		značně, jednoznačně, opačně, pochybovačně, zázračně, příznačně, lačně, uštěpačně, průzračně, příznačně, panovačně, mnohoznačně, dvojznačně, setrvačně, krvelačně, rozkazovačně, vychloubačně, význačně, posměvačně, poživačně, mračně, oblačně, výtlačně, soběstačně, víceznačně, vytahovačně, bezmračně, nadoblačně, pomlouvačně, dvouznačně, podmračně, utrhačně	_^(*1ý)	A2D
áčně	áčný	_^(*1ý)	A2D				
ečně	ečný	_^(*1ý)	A2D		tanečně, svátečně, svátečně, smutečně, slunečně, jatečně, nářečně, prvopočátečně, počátečně	_^(*1í)	A2D
ěčně	ěčný	_^(*1ý)	A2D				
ičně	iční	_^(*1í)	A2D		patřičně, ustavičně, cvičně, dědičně, dýchavičně, zimničně, jednoslabičně, rozličně, pšeničně, sličně, hořčičně, dvojslabičně, viničně, kukuřičně, trojičně	_^(*1ý)	A2D
íčně	íčný	_^(*1ý)	A2D		měsíčně, meziměsíčně, říčně	_^(*1í)	A2D
kčně	kční	_^(*1í)	A2D				
nčně	nční	_^(*1í)	A2D				
očně	oční	_^(*1í)	A2D		útočně, náročně, otočně, úskočně, bezúročně, obkročně	_^(*1ý)	A2D
pčně	pční	_^(*1í)	A2D				
rčně	rční	_^(*1í)	A2D				
učně	učný	_^(*1ý)	A2D		ručně, vlastnoručně, evolučně, revolučně, čtyřručně, konstitučně, substitučně, obouručně, exekučně, jednoručně, institučně, dvojručně, ilokučně, kontrarevolučně, dvouručně	_^(*1í)	A2D
yčně	yčný	_^(*1ý)	A2D				
adně	adný	_^(*1ý)	A2D		výhradně, zásadně, západně, severozápadně, jihozápadně, prozápadně, náhradně, zahradně, výsadně, pořadně, základně, jihojihozápadně, západojihozápadně, západoseverozápadně	_^(*1í)	A2D
ádně	ádný	_^(*1ý)	A2D		parádně, fádně, brigádně, vládně, retrográdně, kaskádně, anterográdně, dekádně, spartakriádně, armádně, stádně	_^(*1í)	A2D
edně	ední	_^(*1í)	A2D		následně, důsledně, úhledně, bezohledně, přehledně, bezvýsledně, dovedně, šeredně, průhledně, vražedně, sebevražedně, výsledně, nezbedně, vzhledně, neposedně, dopředně, vůčihledně, bezedně, soustředně, pohledně, dohledně, sebestředně, drobnohledně, slovosledně, bezvýhledně, mimostředně	_^(*1ý)	A2D
ědně	ědný	_^(*1ý)	A2D		výpovědně, mimovědně	_^(*1í)	A2D
idně	idní	_^(*1í)	A2D		klidně, očividně, poklidně, ošidně	_^(*1ý)	A2D
ídně	ídný	_^(*1ý)	A2D		třídně, prvotřídně	_^(*1í)	A2D
odně	odný	_^(*1ý)	A2D		hodně		
					původně, mezinárodně, národně, východně, obchodně, jihovýchodně, severovýchodně, závodně, přírodně, prapůvodně, celonárodně, spodně, nadnárodně, epizodně, jihojihovýchodně, severoseverovýchodně, velkoobchodně, západovýchodně, východoseverovýchodně, převodní	_^(*1í)	A2D
ódně	ódní	_^(*1í)	A2D				
rdně	rdní	_^(*1í)	A2D		milosrdně, nemilosrdně	_^(*1ý)	A2D
udně	udný	_^(*1ý)	A2D		mimosoudně	_^(*1í)	A2D
					soudně	OBOJE	
ůdně	ůdný	_^(*1ý)	A2D		půdně	_^(*1í)	A2D
zdně	zdný	_^(*1ý)	A2D		pozdně, námězdně, jízdně, hnízdně	_^(*1í)	A2D
eně	ený	_^(*1ý)	A2D				
ěně	ěný	_^(*1ý)	A2D				
fně	fní	_^(*1í)	A2D		houfně, trefně, rozšafně	_^(*1ý)	A2D
gně	gní	_^(*1í)	A2D				
hně	hní	_^(*1í)	A2D		povšechně, drahně	_^(*1ý)	A2D
ině	iný	_^(*1ý)	A2D		povětšině		
jně	jný	_^(*1ý)	A2D		krajně, policejně, režijně, strojně, studijně, misijně, partajně, havarijně, fantazijně, jubilejně, ženijně, zbrojně, muzejně, partijně, evangelijně, unijně, penzijně	_^(*1í)	A2D
					prodejně	OBOJE	
kně	kní	_^(*1í)	A2D		pěkně, nepěkně, teskně, břeskně	_^(*1ý)	A2D
alně	alný	_^(*1ý)	A2D				
álně	ální	_^(*1í)	A2D		reálně, oválně, surreálně, dálně, ireálně	_^(*1ý)	A2D
					schválně		
dlně	dlný	_^(*1ý)	A2D				
eldně	eldný	_^(*1ý)	A2D		paralelně, čelně, eventuelně, divadelně, principielně, specielně, celně, oficielně, bezcelně, hrdelně, sídelně, individuelně, průčelně, antiparalelně, manuelně, sérioparalelně, virtuelně, vizuelně, generelně	_^(*1í)	A2D
ělně	ělní	_^(*1í)	A2D		sdělně	_^(*1ý)	A2D
ilně	ilní	_^(*1í)	A2D		silně, pilně, násilně, vilně, lidumilně, dochvilně, úsilně, obilně	_^(*1ý)	A2D
ílně	ílný	_^(*1ý)	A2D				
olně	olný	_^(*1ý)	A2D		kontrolně, moopolně, polně, frivolně, školně, protialkoholně	_^(*1í)	A2D
plně	plný	_^(*1ý)	A2D				
slně	slný	_^(*1ý)	A2D				
ulně	ulný	_^(*1ý)	A2D		somnambulně	_^(*1í)	A2D
ylně	ylný	_^(*1ý)	A2D				
mně	mný	_^(*1ý)	A2D		extrémně, tamně, územně, anonymně, enormně, intimně, autonomně, legitimně, prozatímně, reformně, podzimně, reklamně, uniformně, konformně, přízemně, zimně, firemně, extrémně, zatímně, polygamně, protirežimně, proreformně, posthumně, zemně, synonymně, monogamně, exotermně, sublimně, podzemně, ekvitermně, protireformně, podomně, platformně, leptosomně, celofiremně	_^(*1í)	A2D
anně	anný	_^(*1ý)	A2D				
ánně	ánní	_^(*1í)	A2D				
enně	enní	_^(*1í)	A2D		prkěnně, rovnocenně, plamenně, kamenně, kořenně, rovnoramnně, bezejměnně, cenně, méněcenně, drahocenně, trojčlenně, zájmenně	_^(*1ý)	A2D
ěnně	ěnní	_^(*1í)	A2D				
énně	énní	_^(*1í)	A2D				
inně	inný	_^(*1ý)	A2D		rutinně, afinně, endokrině, maskulinně	_^(*1í)	A2D
onně	onný	_^(*1ý)	A2D		synchronně, sezonně, asynchronně, polyfonně, stereofonně, planktonně, monotonně, homofonně, salonně, anglofonně, izochronně, diachronně	_^(*1í)	A2D
ónně	ónní	_^(*1í)	A2D				
rnně	rnný	_^(*1ý)	A2D				
unně	unný	_^(*1ý)	A2D		oportunně	_^(*1í)	A2D
ynně	ynný	_^(*1ý)	A2D		androgynně	_^(*1í)	A2D
pně	pný	_^(*1ý)	A2D		stereotypně, vstupně, předpotopně, holotropně	_^(*1í)	A2D
arně	arný	_^(*1ý)	A2D		bizarně, jarně	_^(*1í)	A2D
árně	ární	_^(*1í)	A2D		zdárně, blahodárně, hospodárně, jednotvárně, suchopárně, kárně, zákonodárně, mravokárně, životodárně, beztvárně, mnohotvárně	_^(*1ý)	A2D
drně	drný	_^(*1ý)	A2D				
erně	erný	_^(*1ý)	A2D		severně, moderně, herně, externě, interně, postmoderně, periferně, večerně, operně, hypermoderně, soliterně, klášterně, činoherně, supermoderně, charakterně, kosterně, bezchrakterně, jezerně	_^(*1í)	A2D
érně	érní	_^(*1í)	A2D				
ěrně	ěrný	_^(*1ý)	A2D				
írně	írný	_^(*1ý)	A2D		klavírně	_^(*1í)	A2D
krně	krný	_^(*1ý)	A2D				
orně	orný	_^(*1ý)	A2D		provizorně, laboratorně, apriorně, obligatorně, komorně, meritorně, bezprizorně, folklorně, provisorně, mandatorně, iluzorně, deklaratorně, fotolaboratorně	_^(*1í)	A2D
prně	orný	_^(*1ý)	A2D				
trně	trný	_^(*1ý)	A2D				
urně	urní	_^(*1í)	A2D		chmurně, pochmurně, vzpurně, pošmourně	_^(*1ý)	A2D
ůrně	ůrný	_^(*1ý)	A2D				
řně	řní	_^(*1í)	A2D		zákeřně, zářně	_^(*1ý)	A2D
sně	sný	_^(*1ý)	A2D		kompromisně, profesně, luxusně, procesně, noblěsně, servisně, komisně, secesně, expresně, diskusně, zákulisně, virtuosně, konfesně, nervosně, emisně, recesně, rigorosně, intravenosně, precisně, koncisně, buržoasně, kuriosně, perversně, pralesně, kompresně	_^(*1í)	A2D
šně	šný	_^(*1ý)	A2D		vnějšně	_^(*2í)	A2D
atně	atný	_^(*1ý)	A2D				
átně	átní	_^(*1í)	A2D		malátně, posvátně, památně, brunátně	_^(*1ý)	A2D
ctně	ctný	_^(*1ý)	A2D				
etně	etný	_^(*1ý)	A2D		kompletně, koketně, čtvrtletně, pietně, účetně, pololetně, výpočetně, letně, dietně, operetně, mezičtvrtletně, kabaretně, karetně, kabinetně, baletně, mimoúčetně	_^(*1í)	A2D
					včetně		
ětně	ětný	_^(*1ý)	A2D		zásvětně, podsvětně	_^(*1í)	A2D
étně	étní	_^(*1í)	A2D				
itně	itní	_^(*1í)	A2D		soucitně, bezcitně, průsvitně, ješitně, starožitně, útlocitně, jemnocitně, rozbitně, poloprůsvitně	_^(*1ý)	A2D
ktně	ktní	_^(*1í)	A2D				
ltně	ltní	_^(*1í)	A2D				
ntně	ltní	_^(*1í)	A2D				
otně	otný	_^(*1ý)	A2D		zdravotně, životně, doživotně, teplotně, celoživotně, prvotně, bigotně, gramotně, jistotně, alikvotně, vysokoteplotně, nadživotně	_^(*1í)	A2D
ótně	ótní	_^(*1í)	A2D				
ptně	ptní	_^(*1í)	A2D				
rtně	itní	_^(*1í)	A2D		posmrtně, smrtně, předsmrtně	_^(*1ý)	A2D
astně	astný	_^(*1ý)	A2D		kontrastně, vlastně, oblastně	_^(*1í)	A2D
estně	estný	_^(*1ý)	A2D		protestně, manifestně, trestně	_^(*1í)	A2D
ěstně	ěstný	_^(*1ý)	A2D				
istně	istní	_^(*1í)	A2D		nenávistně, očistně, pojistně	_^(*1ý)	A2D
ístně	ístní	_^(*1í)	A2D				
lstně	lstný	_^(*1ý)	A2D				
ostně	ostní	_^(*1í)	A2D		radostně, příležitostně, zlostně, bezstarostně, žalostně, bytostně, lítostně, úzkostně, skvostně, výsostně, bělostně, milostně, ctnostně, přeradostně	_^(*1ý)	A2D
ustně	astný	_^(*1ý)	A2D		robustně, masopustně	_^(*1í)	A2D
ústně	ústní	_^(*1í)	A2D				
štně	štný	_^(*1ý)	A2D		zvláštně, prazvláštně, jevištně, stanovištně, poštně, obzvláštně, sídlištně	_^(*1í)	A2D
utně	utný	_^(*1ý)	A2D		absolutně, rezolutně, akutně	_^(*1í)	A2D
					hutně	OBOJE	
ytně	ytný	_^(*1ý)	A2D				
avně	avný	_^(*1ý)	A2D		hlavně, dopravně, pohlavně, ústavně, protiústavně, výstavně, potravně, mezipohlavně, bezpohlavně, travně, mimoústavně, dvojpohlavně	_^(*1í)	A2D
					mravně	OBOJE	
ávně	ávní	_^(*1í)	A2D		správně, rovnoprávně, starodávně, samosprávně, svéprávně, plnoprávně, dávně, pradávně	_^(*1ý)	A2D
evně	evný	_^(*1ý)	A2D		duševně, zevně, pokrevně, církevně, dřevně, množstevně, družstevně, proticírke ně, bitevně, celocírkevně, krevně	_^(*1í)	A2D
ěvně	ěvný	_^(*1ý)	A2D				
évně	évní	_^(*1í)	A2D				
ivně	ivní	_^(*1í)	A2D		podivně, divně, obdivně, protivně, roztodivně, záživně, vlivně, údivně, obživně, 	_^(*1ý)	A2D
ívně	ívní	_^(*1í)	A2D				
ovně	ovný	_^(*1ý)	A2D		pracovně, sportovně, duchovně, slovně, srandovně, kultovně, poštovně, kasovně, gruntovně, mimoslovně, festovně, rajcovně, burzovně, mimopracovně, bankovně, echtovně, kumštovně, šmrncovně, zánovně	_^(*1í)	A2D
uvně	uvný	_^(*1ý)	A2D		smluvně, bezesmluvně	_^(*1í)	A2D
					mluvně	OBOJE	
yvně	yvný	_^(*1ý)	A2D				
xně	xní	_^(*1í)	A2D				
azně	azný	_^(*1ý)	A2D		buržoazně, invazně, kurtoazně	_^(*1í)	A2D
ázně	ázný	_^(*1ý)	A2D				
ezně	ezný	_^(*1ý)	A2D		mezně	_^(*1í)	A2D
ézně	ézní	_^(*1í)	A2D				
izně	izní	_^(*1í)	A2D				
ízně	ízný	_^(*1ý)	A2D		koncízně	_^(*1í)	A2D
ozně	ozní	_^(*1í)	A2D		hrozně, hlomozně, lomozně	_^(*1ý)	A2D
ózně	ózní	_^(*1í)	A2D				
rzně	rzní	_^(*1í)	A2D				
uzně	uzný	_^(*1ý)	A2D		difuzně	_^(*1í)	A2D
ůzně	ůzný	_^(*1ý)	A2D				
úzně	úzní	_^(*1í)	A2D				
žně	žný	_^(*1ý)	A2D		jižně, knižně, prestižně, montážně, soutěžně, reportážně, severojižně, instruktážně, podkožně, peněžně, křižně, špionážně, mimosoutěžně, masážně, nitroděložně	_^(*1í)	A2D
					tržně	OBOJE	
pě	pý	_^(*1ý)	A2D				
ře	rý	_^(*2rý)	A2D		nahoře, zadobře		
se	sý	_^(*1ý)	A2D		zase, načase		
še	chý	_^(*2chý)	A2D		spíše, nanejvýše, nadevše		
tě	tý	_^(*1ý)	A2D		příště, ještě, zvláště, obzvláště, napříště, namístě, propříště, chtě		
vě	vý	_^(*1ý)	A2D	právě<pravý			
ze	hý	_^(*2hý)	A2D		ryze, cize	_^(*1í)	A2D
					drze	_^(*1ý)	A2D
					posléze, veskrze, namnoze		
že	ží	_^(*1í)	A2D		VIZ DOLE		
ho	hý	_^(*1ý)	A2D		mnoho, zanedlouho, nadlouho, nasucho, naplocho, zadlouho, beztoho		
ko	ký	_^(*1ý)	A2D		naoko, zakrátko, nakrátko, toliko, zatěžko, nalehko, naměkko, malounko, drobátko, kliďánko, netoliko, nablízko, maloučko, nadivoko, nadevšecko, brzičko, nahniličko, nasladko, zadarmiko, nahladko, brzoučko, naširoko		
mo: přímo, šikmo, kolmo, známo	mý	_^(*1ý)	A2D				
mo: pěšmo	í	_^(*2í)	A2D				
mo: kosmo	ý	_^(*2ý)	A2D				
mo: koňmo, darmo, příkladmo	SUBSTANTIVUM	_^(*2)	N2D	koňmo<kůň			
mo: dvojmo, trojmo	ČÍSLOVKA	_^(*2í)	C2D				
mo: kradmo, klečmo, stojmo, zkusmo, letmo, přednožmo, potažmo, rozkročmo, ležmo, snožmo, jízdmo, skrčmo, plavmo, šeptmo, schylmo, křižmo, skočmo	SLOVESO		V2D				
no	ný	_^(*1ý)	A2D		ráno, na.*, za.*		
po	pý	_^(*1ý)	A2D		naslepo, natupo		
ro	rý	_^(*1ý)	A2D		skoro, nadobro, naostro, namodro		
to	tý	_^(*1ý)	A2D		často, proto, přesto, takto, nadto, mimoto, najisto, nanečisto, načisto, nastojato, našišato, naležato, naprosto, nažluto, šupito, nahusto, začasto		
vo	vý	_^(*1ý)	A2D		najevo, vravo, vlevo, napravo, nalevo, nanovo, naživo, narůžovo, nakřivo, nasyrovo		
krát		_^(*4)	C2D				
							
							
							
na- (SPŘEŽKY!): nadarmo, našikmo, naplno, naprázdno, načerno	< darmo, šikmo, ...		D2D-SPŘEŽKY				
po-: pokradmo	< kradmo		D2D				
za-: zajedno							
o: tamo, semo		_^(*1)	D2D				
ka: hnedka			D2D				
le: hnedle			D2D				
ky: hnedky, teďky			D2D				
hle: tamhle, tuhle, semhle			D2D				
že: tamže			I2D				
							
							
zakončení -ky + nejsou zařazená výše (z ČNK; neodovzená/složitě odvozená atd.): taky, zpátky, navěky, zdálky, vzteky, bezděky, dycinky							
